Posted On,BHK,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Rent
,2,1100,,Super Area,Bandel,India-! Kolkata,Unfurnished,Bach^elors/Fam.ily,2,Contact Owner,10000
44694,2,800,1 out of 3,Super Area,"Phool Bagan, Kankurgachi",India-! Kolkata,Semi-Furnished,Bachelors\/Family*,,,20000
44697,2,1000,1 out of 3,Super Area,Salt Lake City Sector 2,India-- Kolkata,Semi-Furnished,,1,Contact Owner,17000
44746,2,800,1 out of 2,Super Area,,,Unfurnished,Bachel]ors/F@amily,1,,10000
44690,2.0 room,850,1 out of 2,Carpet Area,South Dum Dum,India-^ Kolkata,Unfurnished,Bache[lors&,1,Contact Owner,7500
44680,2,600,Ground out of 1,Super Area,Thakurpukur,India-\ Kolkata,Unfurnished,Bachelors/F}amily+,2,Contact Owner,7000
44733,2,700,Ground out of 4,Super Area,,India-% Kolkata,Unfurnished,Bach@=elors,2,Contact Agent,10000
44733,1,250,1 out of 2,Super Area,Malancha,",-9 Kolkata",Unfurnished,,1.0 Bathrooms,Contact Agent,5000
44719,2,,1 out of 2,Carpet Area,"Palm Avenue Kolkata, Ballygunge",,Unfurnished,"?Bachelor,s",2,Contact Agent,26000
,,1000,1 out of 3,Carpet Area,Natunhat,",-9 Kolkata",Semi-Furnished,,2,Contact Owner,10000
44704,3,1200,1 out of 4,,"Action Area 1, Rajarhat Newtown",India-/ Kolkata,Semi-Furnished,Bachelors/#Fam*ily,2,Contact Agent,25000
,1,400,1 out of 1,Carpet Area,Keshtopur,(-9 Kolkata,Unfurnished,Bachelors?/F^amily,1,Contact Agent,5000
,1,250,1 out of 4,Carpet Area,"Tarulia, Keshtopur",^-9 Kolkata,Furnished,Ba$chelors),1,Contact Owner,6500
44690,1,375,1 out of 2,Carpet Area,Dum Dum Metro,India-! Kolkata,Unfurnished,,1,Contact Agent,5500
44686,3,900,Ground out of 2,Carpet Area,Paschim Barisha,India-- Kolkata,Unfurnished,B*achelo-rs,2,Contact Owner,8500
,3,1286,1 out of 1,Carpet Area,New Town Action Area 1,",-9 Kolkata",Furnished,Bachelors/Fa[mi|ly,2.0 Bathrooms,Contact Owner,40000
44698,2,600,,Super Area,Barasat,--9 Kolkata,Semi-Furnished,Bachelors/F!a|mily,1,Contact Owner,6000
44732,2,800,,Super Area,Behala,India-* Kolkata,Unfurnished,Bachelors/F}ami^ly,1,Contact Owner,10000
44721,2,2000,Ground out of 3,Carpet Area,,India-; Kolkata,Unfurnished,Bachelors</Fami@ly,1.0 Bathrooms,,11000
,,,1 out of 2,Super Area,,India-! Kolkata,Unfurnished,Bachelors/?F}amily,1,Contact Owner,6000
,2,650,1 out of 2,Carpet Area,Santoshpur,India-. Kolkata,Unfurnished,"Fam""ily,",1,Contact Owner,7900
44726,2,400,2 out of 3,Carpet Area,"Garia Station, Garia",!-9 Kolkata,Unfurnished,]Bachel=ors,2,Contact Owner,9000
